epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.028,1.54615,2.7995,1.76386,0.32794,0.25193,0.18802,0.11404,1.91948,2.99059,2.11139,0.000369579,0.000369579,0.000369579
2,131.61,1.4744,2.30608,1.71119,0.30267,0.27914,0.20208,0.11504,2.00064,2.92193,2.18851,0.000703287,0.000703287,0.000703287
3,195.213,1.461,2.19686,1.7012,0.29383,0.30566,0.21305,0.13834,1.78691,2.78883,2.02342,0.00100033,0.00100033,0.00100033
4,258.598,1.41244,2.09649,1.66885,0.35661,0.28173,0.23623,0.14962,1.71847,2.49282,1.98448,0.000946016,0.000946016,0.000946016
5,320.964,1.3624,1.99802,1.63251,0.36116,0.34098,0.27709,0.18398,1.65259,2.34727,1.90581,0.000891022,0.000891022,0.000891022
6,383.253,1.33236,1.90722,1.60845,0.35022,0.35245,0.26626,0.17368,1.5996,2.39168,1.86335,0.000836027,0.000836027,0.000836027
7,446.59,1.30888,1.85135,1.59625,0.39994,0.33913,0.28349,0.18982,1.57284,2.32733,1.85117,0.000781033,0.000781033,0.000781033
8,508.19,1.25648,1.74888,1.5495,0.35638,0.39739,0.30373,0.2006,1.5562,2.22403,1.81417,0.000726038,0.000726038,0.000726038
9,571.519,1.23436,1.71499,1.53823,0.39157,0.38999,0.31247,0.21061,1.51226,2.21152,1.80159,0.000671044,0.000671044,0.000671044
10,633.697,1.20364,1.66038,1.5208,0.42479,0.3909,0.32777,0.21596,1.48231,2.21479,1.76308,0.000616049,0.000616049,0.000616049
11,697.787,1.27837,1.75288,1.62059,0.39243,0.39062,0.32257,0.21788,1.47791,2.09877,1.7416,0.000561055,0.000561055,0.000561055
12,761.23,1.22597,1.6158,1.57945,0.42288,0.3719,0.3321,0.23051,1.46632,2.08526,1.74578,0.00050606,0.00050606,0.00050606
13,821.556,1.18766,1.56973,1.55285,0.41423,0.41204,0.33714,0.23837,1.39909,2.04025,1.70077,0.000451066,0.000451066,0.000451066
14,883.637,1.15464,1.51063,1.52506,0.41862,0.41647,0.3505,0.24157,1.4196,1.99818,1.69208,0.000396071,0.000396071,0.000396071
15,962.001,1.13969,1.4818,1.5116,0.44535,0.42391,0.3608,0.25498,1.38583,1.96516,1.67548,0.000341077,0.000341077,0.000341077
16,1028.14,1.11143,1.41814,1.47949,0.41546,0.42157,0.34713,0.24622,1.37503,1.95454,1.66986,0.000286083,0.000286083,0.000286083
17,1100.36,1.06369,1.3629,1.4434,0.39688,0.439,0.34992,0.24694,1.37217,1.94828,1.66531,0.000231088,0.000231088,0.000231088
18,1171.92,1.05591,1.35507,1.44438,0.44111,0.41456,0.3609,0.25532,1.36599,1.96589,1.65393,0.000176094,0.000176094,0.000176094
19,1238.97,1.03407,1.30476,1.42024,0.42155,0.4471,0.36939,0.26191,1.34922,1.92698,1.65157,0.000121099,0.000121099,0.000121099
20,1309.09,1.01432,1.27379,1.40579,0.42777,0.44327,0.37093,0.26611,1.3292,1.93959,1.63292,6.61045e-05,6.61045e-05,6.61045e-05
