epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.8478,1.50374,2.76898,1.73386,0.45743,0.23601,0.17527,0.11176,1.79719,2.87429,2.01491,0.000368828,0.000368828,0.000368828
2,148.9,1.4571,2.20555,1.686,0.29339,0.24947,0.18659,0.10964,1.84325,2.82238,2.07139,0.000731844,0.000731844,0.000731844
3,219.779,1.41768,2.09102,1.66375,0.47736,0.2191,0.18522,0.1088,1.84828,2.93612,2.07139,0.00108753,0.00108753,0.00108753
4,285.971,1.39135,2.01106,1.65391,0.30864,0.28327,0.21395,0.12901,1.85759,2.81824,2.06346,0.001078,0.001078,0.001078
5,354.549,1.35761,1.91688,1.62182,0.38802,0.2949,0.25193,0.16083,1.67062,2.42589,1.90961,0.001067,0.001067,0.001067
6,418.778,1.31885,1.83655,1.59585,0.33334,0.33811,0.24044,0.15408,1.73716,2.37366,1.97145,0.00105601,0.00105601,0.00105601
7,483.196,1.29502,1.79978,1.57889,0.32239,0.34455,0.2523,0.15893,1.6577,2.38188,1.88365,0.00104501,0.00104501,0.00104501
8,548.61,1.27181,1.71429,1.55349,0.37774,0.3722,0.28765,0.18722,1.58945,2.23744,1.84926,0.00103401,0.00103401,0.00103401
9,615.568,1.25469,1.69491,1.53646,0.34034,0.36717,0.30159,0.19521,1.5984,2.26563,1.83186,0.00102301,0.00102301,0.00102301
10,683.813,1.22902,1.63975,1.52631,0.35628,0.3554,0.27326,0.17945,1.58278,2.22619,1.83926,0.00101201,0.00101201,0.00101201
11,758.22,1.20274,1.58261,1.49688,0.39039,0.39332,0.33475,0.22208,1.54789,2.10264,1.82277,0.00100101,0.00100101,0.00100101
12,825.464,1.19961,1.58158,1.50202,0.40156,0.36039,0.3042,0.2062,1.48515,2.12141,1.74192,0.000990012,0.000990012,0.000990012
13,895.29,1.16472,1.54427,1.47625,0.40061,0.40875,0.31196,0.21588,1.50332,2.09845,1.76188,0.000979013,0.000979013,0.000979013
14,959.53,1.15708,1.50401,1.46613,0.37314,0.399,0.31137,0.21323,1.49531,2.10093,1.77661,0.000968014,0.000968014,0.000968014
